S3,,,,,,,,,,,,,,
,Mag,Ef,Ef_per_area,Ef_per_atom,Ef_per_aa,num_BN,num_M,M_label,a,b,gamma,area,E0,E_M
Mg8B20N20_0.56%_8,0,-7.316546112,-0.067367608,-0.083142569,-0.000765541,40,8,Mg,21.69096541,5.006982855,90,108.6062919,-7.18E+02,-0.011054236
Pb25B56N56_0.84%_25,0,-66.9189795,-0.220753045,-0.268750922,-0.000886558,112,25,Pb,17.3229513,17.49930186,90,303.1395539,-2.07E+03,-0.62007634
Sr30B80N80_1.49%_30,2.14,-37.77589701,-0.086544435,-0.107931134,-0.00024727,160,30,Sr,34.79122324,12.546019,90,436.4913479,-2.88E+03,-0.041741433
Tl40B70N70_2.03%_40,0.0001,-85.38942,-0.224517366,-0.266841937,-0.000701617,140,40,Tl,21.69158251,17.53326868,90,380.3243442,-2.58E+03,-0.1779235
Zr8B20N20_1.73%_8,-0.032,-38.87706,-0.352248819,-0.441784773,-0.004002827,40,8,Zr,21.82923707,5.05597958,90,110.3681769,-7.68E+02,-2.3432475
,,,,,,,,,,,,,,
S5,,,,,,,,,,,,,,
,Mag,Ef,Ef_per_area,Ef_per_atom,Ef_per_aa,num_BN,num_M,M_label,a,b,gamma,area,E0,E_M
Al42B32N32_2.98%_42,0.005,-137.3765297,-0.796579888,-0.808097233,-0.004685764,64,42,Al,8.617631688,20.01222031,90,172.4579438,-1.28E+03,-0.20667396
Au36B28N28_1.01%_36,0,-112.3407318,-0.747345596,-0.759058999,-0.005049632,56,36,Au,8.646719828,17.38458715,90,150.3196544,-1.11E+03,-0.18633645
Ca28B36N36_2.65%_28,0,-49.86611896,-0.254267247,-0.289919296,-0.001478298,72,28,Ca,26.08282947,7.519006246,90,196.1169577,-1.33E+03,-0.034325323
Cu14B8N8_1.21%_14,0,-47.0902677,-1.087309782,-1.023701472,-0.023637169,16,14,Cu,17.35965123,2.494806509,90,43.3089709,-3.34E+02,-0.23653045
Ga32B26N26_1.94%_32,0,-86.40636112,-0.613323817,-0.635340891,-0.004509734,52,32,Ga,15.61439028,9.022582369,90,140.8821224,-1.02E+03,-0.20294334
Os32B18N18_2.93%_32,0,-252.4753452,-2.630955775,-2.42764755,-0.025297652,36,32,Os,4.365817961,21.98061319,90,95.96335583,-9.81E+02,-2.7922709
Sr36B80N80_2.35%_36,9.9628,-47.43774841,-0.109187339,-0.133252102,-0.000306706,160,36,Sr,21.68171081,20.03817838,90,434.4619889,-2.89E+03,-0.041741433
Zr16B20N20_1.73%_16,0,-87.81943,-0.813748479,-0.914785729,-0.008476547,40,16,Zr,21.5510665,5.007623363,90,107.9196241,-8.36E+02,-2.3432475
